"Dataset 1";"Dataset 2";"Test";"p-value";"p-Thr";"Delta";"d 95% CI";"Delta-Thr";"RelDiff";"r 95% CI";"Rel-Thr";"Win";"Power (%)";"Swap";"Reason"
"GradientBoosting";"KNN";"Sensitivity";"0.0000";"0.0014";"+0.975";"[+0.930, +0.992]";"0.727";"0.128";"[0.115, 0.140]";"0.069";"1";"100.0";"0";"Ranking already correct";
"GradientBoosting";"NaiveBayes";"Sensitivity";"0.0000";"0.0015";"+1.000";"[+1.000, +1.000]";"0.727";"0.699";"[0.686, 0.714]";"0.069";"1";"100.0";"0";"Ranking already correct";
"GradientBoosting";"AdaBoost";"Sensitivity";"0.0000";"0.0011";"+0.827";"[+0.732, +0.897]";"0.727";"0.071";"[0.066, 0.076]";"0.069";"1";"77.5";"0";"Ranking already correct";
"SVM_Linear";"NaiveBayes";"Sensitivity";"0.0000";"0.0016";"+1.000";"[+1.000, +1.000]";"0.727";"0.620";"[0.607, 0.634]";"0.069";"1";"100.0";"0";"Ranking already correct";
"SVM_Linear";"MLP";"Sensitivity";"0.0000";"0.0013";"-1.000";"[-1.000, -0.994]";"0.727";"0.160";"[0.151, 0.169]";"0.069";"1";"100.0";"0";"Ranking already correct";
"LogisticRegression";"KNN";"Sensitivity";"0.0000";"0.0023";"+0.896";"[+0.804, +0.947]";"0.727";"0.094";"[0.082, 0.107]";"0.069";"1";"100.0";"0";"Ranking already correct";
"LogisticRegression";"NaiveBayes";"Sensitivity";"0.0000";"0.0013";"+1.000";"[+1.000, +1.000]";"0.727";"0.669";"[0.656, 0.682]";"0.069";"1";"100.0";"0";"Ranking already correct";
"LogisticRegression";"MLP";"Sensitivity";"0.0000";"0.0012";"-0.970";"[-0.990, -0.924]";"0.727";"0.106";"[0.099, 0.113]";"0.069";"1";"100.0";"0";"Ranking already correct";
"DecisionTree";"ExtraTrees";"Sensitivity";"0.0000";"0.0033";"-0.839";"[-0.920, -0.714]";"0.727";"0.076";"[0.063, 0.088]";"0.069";"1";"84.0";"0";"Ranking already correct";
"DecisionTree";"MLP";"Sensitivity";"0.0000";"0.0014";"-1.000";"[-1.000, -1.000]";"0.727";"0.166";"[0.154, 0.180]";"0.069";"1";"100.0";"0";"Ranking already correct";
"KNN";"ExtraTrees";"Sensitivity";"0.0000";"0.0019";"-0.934";"[-0.971, -0.860]";"0.727";"0.109";"[0.096, 0.122]";"0.069";"1";"100.0";"0";"Ranking already correct";
"KNN";"MLP";"Sensitivity";"0.0000";"0.0015";"-1.000";"[-1.000, -1.000]";"0.727";"0.199";"[0.189, 0.210]";"0.069";"1";"100.0";"0";"Ranking already correct";
"NaiveBayes";"AdaBoost";"Sensitivity";"0.0000";"0.0017";"-1.000";"[-1.000, -1.000]";"0.727";"0.636";"[0.622, 0.651]";"0.069";"1";"100.0";"0";"Ranking already correct";
"NaiveBayes";"ExtraTrees";"Sensitivity";"0.0000";"0.0020";"-1.000";"[-1.000, -1.000]";"0.727";"0.682";"[0.668, 0.699]";"0.069";"1";"100.0";"0";"Ranking already correct";
"NaiveBayes";"MLP";"Sensitivity";"0.0000";"0.0018";"-1.000";"[-1.000, -1.000]";"0.727";"0.761";"[0.749, 0.777]";"0.069";"1";"100.0";"0";"Ranking already correct";
"AdaBoost";"MLP";"Sensitivity";"0.0000";"0.0014";"-1.000";"[-1.000, -1.000]";"0.727";"0.143";"[0.136, 0.150]";"0.069";"1";"100.0";"0";"Ranking already correct";
"ExtraTrees";"MLP";"Sensitivity";"0.0000";"0.0012";"-0.944";"[-0.977, -0.884]";"0.727";"0.091";"[0.083, 0.098]";"0.069";"1";"100.0";"0";"Ranking already correct";
"RandomForest";"GradientBoosting";"Sensitivity";"0.4294";"0.0500";"-0.067";"[-0.215, +0.085]";"0.727";"0.002";"[0.000, 0.006]";"0.069";"0";"0.0";"0";"Criteria for Sensitivity win not met";
"RandomForest";"LogisticRegression";"Sensitivity";"0.0000";"0.0056";"+0.432";"[+0.274, +0.573]";"0.727";"0.032";"[0.021, 0.042]";"0.069";"0";"0.0";"0";"Criteria for Sensitivity win not met";
"RandomForest";"ExtraTrees";"Sensitivity";"0.0001";"0.0071";"+0.234";"[+0.106, +0.358]";"0.727";"0.017";"[0.010, 0.024]";"0.069";"0";"0.0";"0";"Criteria for Sensitivity win not met";
"GradientBoosting";"LogisticRegression";"Sensitivity";"0.0000";"0.0031";"+0.480";"[+0.372, +0.583]";"0.727";"0.034";"[0.028, 0.040]";"0.069";"0";"0.0";"0";"Criteria for Sensitivity win not met";
"GradientBoosting";"ExtraTrees";"Sensitivity";"0.0001";"0.0083";"+0.289";"[+0.134, +0.438]";"0.727";"0.019";"[0.010, 0.027]";"0.069";"0";"0.0";"0";"Criteria for Sensitivity win not met";
"SVM_Linear";"LogisticRegression";"Sensitivity";"0.0000";"0.0011";"-0.642";"[-0.741, -0.542]";"0.727";"0.055";"[0.050, 0.059]";"0.069";"0";"0.0";"0";"Criteria for Sensitivity win not met";
"SVM_Linear";"DecisionTree";"Sensitivity";"0.3073";"0.0250";"+0.106";"[-0.124, +0.312]";"0.727";"0.007";"[0.000, 0.020]";"0.069";"0";"0.0";"0";"Criteria for Sensitivity win not met";
"SVM_Linear";"KNN";"Sensitivity";"0.0000";"0.0063";"+0.495";"[+0.313, +0.664]";"0.727";"0.040";"[0.025, 0.054]";"0.069";"0";"0.0";"0";"Criteria for Sensitivity win not met";
"SVM_Linear";"AdaBoost";"Sensitivity";"0.0000";"0.0050";"-0.232";"[-0.321, -0.148]";"0.727";"0.017";"[0.012, 0.022]";"0.069";"0";"0.0";"0";"Criteria for Sensitivity win not met";
"LogisticRegression";"DecisionTree";"Sensitivity";"0.0000";"0.0042";"+0.727";"[+0.557, +0.844]";"0.727";"0.061";"[0.046, 0.076]";"0.069";"0";"14.4";"0";"Criteria for Sensitivity win not met";
"LogisticRegression";"AdaBoost";"Sensitivity";"0.0000";"0.0026";"+0.498";"[+0.390, +0.611]";"0.727";"0.038";"[0.032, 0.043]";"0.069";"0";"0.0";"0";"Criteria for Sensitivity win not met";
"LogisticRegression";"ExtraTrees";"Sensitivity";"0.0062";"0.0167";"-0.211";"[-0.374, -0.041]";"0.727";"0.015";"[0.004, 0.025]";"0.069";"0";"0.0";"0";"Criteria for Sensitivity win not met";
"DecisionTree";"KNN";"Sensitivity";"0.0003";"0.0100";"+0.477";"[+0.248, +0.660]";"0.727";"0.033";"[0.017, 0.049]";"0.069";"0";"0.0";"0";"Criteria for Sensitivity win not met";
"DecisionTree";"AdaBoost";"Sensitivity";"0.0012";"0.0125";"-0.350";"[-0.532, -0.131]";"0.727";"0.024";"[0.009, 0.037]";"0.069";"0";"0.0";"0";"Criteria for Sensitivity win not met";
"KNN";"AdaBoost";"Sensitivity";"0.0000";"0.0045";"-0.672";"[-0.797, -0.510]";"0.727";"0.057";"[0.043, 0.070]";"0.069";"0";"4.1";"0";"Criteria for Sensitivity win not met";
"AdaBoost";"ExtraTrees";"Sensitivity";"0.0000";"0.0038";"-0.656";"[-0.773, -0.520]";"0.727";"0.052";"[0.042, 0.062]";"0.069";"0";"0.0";"0";"Criteria for Sensitivity win not met";
"LogisticRegression";"ExtraTrees";"Specificity";"0.0000";"0.0028";"+0.965";"[+0.906, +0.989]";"0.936";"0.098";"[0.090, 0.106]";"0.091";"1";"91.6";"1";"(1) Sensitivity neutral";
"RandomForest";"SVM_Linear";"Specificity";"0.0000";"0.0014";"-0.993";"[-1.000, -0.965]";"0.936";"0.114";"[0.106, 0.121]";"0.091";"1";"100.0";"0";"(1/2) No comparison -> Sensitivity win";
"RandomForest";"DecisionTree";"Specificity";"0.0000";"0.0038";"+0.988";"[+0.955, +0.997]";"0.936";"0.133";"[0.122, 0.145]";"0.091";"1";"100.0";"0";"(1/2) No comparison -> Sensitivity win";
"RandomForest";"NaiveBayes";"Specificity";"0.0000";"0.0024";"-1.000";"[-1.000, -1.000]";"0.936";"0.186";"[0.177, 0.195]";"0.091";"1";"100.0";"0";"(1/2) No comparison -> Sensitivity win";
"RandomForest";"AdaBoost";"Specificity";"0.0000";"0.0021";"-0.979";"[-0.996, -0.934]";"0.936";"0.099";"[0.091, 0.106]";"0.091";"1";"97.4";"0";"(1/2) No comparison -> Sensitivity win";
